Anz Daten: 10000; Mittelpunkt:         0.00;   162501.39;   161104.82;

        Abst;       BrSec;       LaSec;
   228751.49;       46.81;       59.01;
   228751.55;       52.14;       53.55;
   228751.55;       57.66;       47.97;
   228751.56;       56.63;       49.00;
   228751.56;       51.55;       54.12;
   228751.62;       47.46;       58.17;
   228751.65;       47.01;       58.58;
   228751.66;       51.46;       54.08;
   228751.66;       52.97;       52.55;
   228751.69;       49.83;       55.67;
   228751.71;       59.05;       46.35;
   228751.72;       53.05;       52.38;
   228751.74;       57.03;       48.34;
   228751.75;       49.36;       56.06;
   228751.77;       59.65;       45.66;
   228751.77;       51.97;       53.40;
   228751.79;       48.82;       56.55;
   228751.83;       49.08;       56.23;
   228751.86;       57.33;       47.87;
   228751.90;       58.84;       46.29;
   228751.92;       57.33;       47.79;
   228751.96;       54.71;       50.37;
   228751.98;       49.57;       55.53;
   228752.00;       57.79;       47.21;
   228752.01;       51.69;       53.34;
   228752.02;       47.62;       57.43;
   228752.05;       52.08;       52.90;
   228752.07;       59.97;       44.91;
   228752.11;       54.29;       50.58;
   228752.12;       56.12;       48.72;
   228752.15;       57.62;       47.16;
   228752.17;       49.68;       55.15;
   228752.18;       52.54;       52.24;
   228752.32;       52.96;       51.63;
   228752.32;       58.67;       45.86;
   228752.33;       46.71;       57.92;
   228752.33;       47.81;       56.80;
   228752.34;       49.72;       54.87;
   228752.34;       46.23;       58.39;
   228752.34;       59.71;       44.78;
   228752.38;       54.33;       50.16;
   228752.43;       48.61;       55.85;
   228752.44;       56.88;       47.50;
   228752.44;       54.04;       50.36;
   228752.45;       52.54;       51.86;
   228752.52;       47.78;       56.57;
   228752.61;       55.07;       49.09;
   228752.62;       51.02;       53.15;
   228752.71;       44.99;       59.11;
   228752.73;       59.50;       44.45;
   228752.75;       56.84;       47.10;
   228752.75;       57.49;       46.44;
   228752.76;       50.17;       53.81;
   228752.79;       52.42;       51.50;
   228752.83;       48.75;       55.15;
   228752.83;       44.03;       59.90;
   228752.88;       45.44;       58.42;
   228752.90;       46.73;       57.09;
   228752.91;       50.46;       53.31;
   228752.93;       55.20;       48.50;
   228752.94;       45.33;       58.44;
   228752.94;       48.76;       54.98;
   228752.99;       47.44;       56.24;
   228753.01;       51.39;       52.23;
   228753.03;       56.44;       47.11;
   228753.05;       44.88;       58.74;
   228753.07;       44.06;       59.53;
   228753.08;       45.28;       58.29;
   228753.12;       51.78;       51.68;
   228753.13;       50.28;       53.18;
   228753.14;       55.53;       47.87;
   228753.14;       46.78;       56.69;
   228753.15;       55.84;       47.54;
   228753.15;       49.91;       53.52;
   228753.19;       56.73;       46.58;
   228753.21;       52.34;       50.99;
   228753.22;       51.68;       51.63;
   228753.23;       49.70;       53.62;
   228753.24;       59.77;       43.45;
   228753.24;       57.73;       45.50;
   228753.27;       49.55;       53.72;
   228753.30;       59.48;       43.66;
   228753.41;       45.65;       57.45;
   228753.44;       52.45;       50.55;
   228753.45;       53.05;       49.93;
   228753.46;       58.63;       44.29;
   228753.46;       47.54;       55.47;
   228753.49;       51.38;       51.55;
   228753.50;       56.75;       46.13;
   228753.51;       49.68;       53.24;
   228753.51;       47.20;       55.74;
   228753.52;       43.43;       59.53;
   228753.53;       46.50;       56.42;
   228753.55;       59.88;       42.89;
   228753.56;       49.07;       53.79;
   228753.58;       55.07;       47.71;
   228753.58;       52.41;       50.39;
   228753.64;       56.92;       45.76;
   228753.64;       59.75;       42.90;
   228753.64;       45.70;       57.07;
   228753.66;       49.14;       53.57;
   228753.67;       55.53;       47.12;
   228753.67;       59.28;       43.33;
   228753.70;       47.48;       55.19;
   228753.71;       57.25;       45.32;
   228753.76;       50.80;       51.76;
   228753.76;       55.38;       47.13;
   228753.77;       46.07;       56.52;
   228753.79;       51.86;       50.65;
   228753.79;       59.73;       42.71;
   228753.81;       53.08;       49.39;
   228753.83;       58.88;       43.51;
   228753.85;       43.10;       59.40;
   228753.85;       56.43;       45.95;
   228753.87;       49.44;       52.97;
   228753.88;       56.88;       45.46;
   228753.91;       53.70;       48.62;
   228753.94;       48.11;       54.22;
   228753.96;       56.65;       45.57;
   228753.97;       56.75;       45.45;
   228754.01;       48.26;       53.96;
   228754.04;       55.00;       47.12;
   228754.06;       50.62;       51.51;
   228754.09;       44.33;       57.82;
   228754.14;       59.39;       42.55;
   228754.16;       52.33;       49.65;
   228754.16;       54.58;       47.38;
   228754.16;       58.83;       43.09;
   228754.16;       46.81;       55.21;
   228754.16;       59.18;       42.73;
   228754.20;       49.34;       52.61;
   228754.20;       56.42;       45.46;
   228754.21;       56.92;       44.95;
   228754.21;       56.02;       45.85;
   228754.21;       45.48;       56.48;
   228754.25;       43.15;       58.78;
   228754.28;       43.30;       58.59;
   228754.28;       50.42;       51.40;
   228754.29;       48.90;       52.92;
   228754.31;       52.60;       49.16;
   228754.32;       47.04;       54.76;
   228754.32;       48.03;       53.76;
   228754.32;       54.17;       47.56;
   228754.34;       48.58;       53.17;
   228754.36;       56.69;       44.96;
   228754.38;       58.91;       42.70;
   228754.39;       44.60;       57.11;
   228754.42;       42.85;       58.84;
   228754.42;       58.15;       43.40;
   228754.45;       58.73;       42.78;
   228754.49;       41.74;       59.86;
   228754.50;       41.61;       59.97;
   228754.50;       58.86;       42.57;
   228754.51;       43.63;       57.92;
   228754.52;       57.63;       43.79;
   228754.52;       53.83;       47.62;
   228754.53;       50.63;       50.84;
   228754.54;       44.29;       57.22;
   228754.55;       56.73;       44.65;
   228754.60;       49.15;       52.23;
   228754.60;       59.97;       41.31;
   228754.61;       52.86;       48.47;
   228754.62;       46.15;       55.23;
   228754.63;       47.91;       53.44;
   228754.65;       54.21;       47.06;
   228754.66;       53.30;       47.95;
   228754.71;       44.94;       56.32;
   228754.77;       55.10;       45.99;
   228754.81;       56.58;       44.43;
   228754.82;       51.65;       49.39;
   228754.83;       49.68;       51.37;
   228754.85;       52.28;       48.72;
   228754.86;       54.69;       46.27;
   228754.86;       55.84;       45.11;
   228754.89;       57.60;       43.30;
   228754.89;       46.38;       54.61;
   228754.93;       46.41;       54.52;
   228754.94;       55.54;       45.30;
   228754.95;       54.76;       46.07;
   228754.96;       42.27;       58.66;
   228755.01;       49.22;       51.57;
   228755.02;       46.63;       54.17;
   228755.03;       54.94;       45.78;
   228755.04;       44.53;       56.26;
   228755.05;       41.38;       59.43;
   228755.05;       41.83;       58.97;
   228755.10;       53.68;       46.95;
   228755.15;       53.77;       46.78;
   228755.21;       51.91;       48.58;
   228755.21;       54.16;       46.31;
   228755.22;       56.15;       44.28;
   228755.23;       55.98;       44.44;
   228755.25;       54.38;       46.03;
   228755.26;       46.40;       54.07;
   228755.26;       43.25;       57.24;
   228755.27;       57.65;       42.70;
   228755.33;       50.64;       49.69;
   228755.36;       56.60;       43.63;
   228755.39;       55.91;       44.29;
   228755.40;       42.77;       57.53;
   228755.41;       59.03;       41.11;
   228755.43;       48.19;       52.02;
   228755.45;       54.03;       46.10;
   228755.46;       59.03;       41.04;
   228755.47;       42.75;       57.45;
   228755.47;       52.44;       47.67;
   228755.47;       54.58;       45.51;
   228755.51;       59.41;       40.59;
   228755.52;       49.57;       50.50;
   228755.53;       51.37;       48.67;
   228755.54;       47.98;       52.08;
   228755.58;       46.14;       53.87;
   228755.61;       46.98;       52.98;
   228755.63;       44.55;       55.41;
   228755.68;       59.37;       40.38;
   228755.71;       50.49;       49.30;
   228755.77;       57.24;       42.41;
   228755.79;       42.80;       56.94;
   228755.81;       49.22;       50.44;
   228755.82;       43.65;       56.05;
   228755.82;       47.02;       52.64;
   228755.83;       48.13;       51.51;
   228755.83;       52.13;       47.47;
   228755.85;       52.19;       47.39;
   228755.85;       52.24;       47.33;
   228755.85;       52.09;       47.48;
   228755.86;       48.54;       51.05;
   228755.87;       54.46;       45.07;
   228755.87;       59.03;       40.46;
   228755.91;       41.50;       58.09;
   228755.95;       54.07;       45.35;
   228755.96;       44.93;       54.55;
   228755.97;       43.51;       55.97;
   228755.99;       50.30;       49.10;
   228755.99;       44.07;       55.38;
   228755.99;       58.31;       41.01;
   228756.02;       39.99;       59.45;
   228756.03;       48.78;       50.57;
   228756.06;       44.13;       55.22;
   228756.06;       55.01;       44.24;
   228756.06;       56.97;       42.26;
   228756.06;       54.61;       44.64;
   228756.07;       42.41;       56.94;
   228756.09;       58.83;       40.35;
   228756.15;       56.03;       43.08;
   228756.16;       45.24;       53.96;
   228756.16;       55.59;       43.51;
   228756.22;       40.42;       58.74;
   228756.24;       55.58;       43.41;
   228756.25;       54.69;       44.29;
   228756.25;       43.11;       55.97;
   228756.27;       40.79;       58.29;
   228756.29;       55.63;       43.29;
   228756.30;       58.85;       40.03;
   228756.30;       48.10;       50.87;
   228756.33;       48.69;       50.24;
   228756.36;       48.98;       49.90;
   228756.36;       45.36;       53.55;
   228756.37;       41.08;       57.86;
   228756.37;       46.67;       52.22;
   228756.37;       45.49;       53.40;
   228756.38;       54.25;       44.55;
   228756.41;       51.60;       47.19;
   228756.42;       42.48;       56.37;
   228756.43;       59.05;       39.64;
   228756.44;       59.40;       39.28;
   228756.44;       45.40;       53.40;
   228756.45;       58.18;       40.49;
   228756.45;       43.93;       54.86;
   228756.46;       57.16;       41.51;
   228756.46;       51.12;       47.60;
   228756.49;       48.84;       49.86;
   228756.49;       45.51;       53.21;
   228756.51;       55.93;       42.68;
   228756.51;       40.78;       57.96;
   228756.51;       50.90;       47.75;
   228756.53;       51.23;       47.39;
   228756.54;       40.87;       57.83;
   228756.54;       44.23;       54.43;
   228756.56;       58.00;       40.52;
   228756.56;       42.16;       56.49;
   228756.56;       58.10;       40.41;
   228756.58;       50.55;       48.00;
   228756.58;       41.16;       57.47;
   228756.61;       56.00;       42.47;
   228756.63;       51.76;       46.71;
   228756.64;       46.37;       52.13;
   228756.65;       58.23;       40.16;
   228756.70;       50.49;       47.90;
   228756.71;       50.78;       47.59;
   228756.74;       52.14;       46.17;
   228756.76;       55.40;       42.86;
   228756.76;       45.34;       53.00;
   228756.76;       45.03;       53.31;
   228756.77;       53.32;       44.94;
   228756.79;       41.28;       57.05;
   228756.80;       56.32;       41.87;
   228756.80;       57.40;       40.78;
   228756.81;       55.22;       42.97;
   228756.83;       39.64;       58.66;
   228756.88;       44.28;       53.90;
   228756.89;       38.58;       59.64;
   228756.89;       56.61;       41.45;
   228756.89;       46.87;       51.27;
   228756.90;       48.34;       49.78;
   228756.91;       47.61;       50.50;
   228756.92;       39.47;       58.70;
   228756.94;       54.38;       43.63;
   228756.95;       47.71;       50.34;
   228756.97;       43.89;       54.17;
   228756.97;       43.23;       54.83;
   228757.03;       50.54;       47.38;
   228757.03;       56.69;       41.17;
   228757.05;       46.40;       51.52;
   228757.07;       52.59;       45.25;
   228757.08;       44.09;       53.81;
   228757.12;       47.45;       50.36;
   228757.13;       47.97;       49.83;
   228757.13;       53.23;       44.52;
   228757.16;       45.06;       52.72;
   228757.17;       44.04;       53.73;
   228757.19;       57.34;       40.29;
   228757.20;       54.86;       42.77;
   228757.21;       56.90;       40.70;
   228757.22;       42.52;       55.20;
   228757.25;       55.03;       42.54;
   228757.26;       48.69;       48.91;
   228757.28;       55.51;       42.01;
   228757.29;       54.89;       42.62;
   228757.29;       42.53;       55.08;
   228757.32;       50.45;       47.06;
   228757.32;       43.25;       54.32;
   228757.33;       51.79;       45.69;
   228757.33;       51.40;       46.08;
   228757.40;       49.92;       47.47;
   228757.41;       56.35;       40.97;
   228757.42;       55.82;       41.49;
   228757.44;       43.17;       54.22;
   228757.46;       51.42;       45.87;
   228757.46;       59.56;       37.66;
   228757.47;       50.44;       46.85;
   228757.53;       47.63;       49.60;
   228757.53;       48.11;       49.11;
   228757.54;       46.49;       50.73;
   228757.55;       56.95;       40.17;
   228757.56;       55.97;       41.14;
   228757.58;       47.47;       49.69;
   228757.61;       58.86;       38.16;
   228757.62;       47.12;       49.99;
   228757.62;       44.31;       52.82;
   228757.64;       41.70;       55.43;
   228757.64;       44.26;       52.84;
   228757.65;       37.68;       59.46;
   228757.68;       41.10;       55.98;
   228757.68;       49.39;       47.61;
   228757.68;       40.84;       56.23;
   228757.68;       50.02;       46.97;
   228757.69;       48.23;       48.76;
   228757.70;       39.58;       57.48;
   228757.70;       58.53;       38.36;
   228757.71;       54.29;       42.62;
   228757.73;       40.57;       56.44;
   228757.76;       57.72;       39.10;
   228757.76;       43.67;       53.27;
   228757.76;       38.22;       58.76;
   228757.77;       48.03;       48.86;
   228757.77;       54.61;       42.22;
   228757.77;       57.89;       38.91;
   228757.79;       40.17;       56.76;
   228757.80;       57.02;       39.75;
   228757.80;       45.58;       51.28;
   228757.81;       43.53;       53.34;
   228757.83;       57.28;       39.44;
   228757.83;       55.69;       41.04;
   228757.83;       42.72;       54.12;
   228757.85;       43.16;       53.65;
   228757.86;       46.14;       50.64;
   228757.86;       58.66;       38.00;
   228757.87;       38.71;       58.12;
   228757.91;       53.62;       43.02;
   228757.92;       54.23;       42.39;
   228757.96;       58.76;       37.76;
   228757.99;       43.14;       53.47;
   228757.99;       43.12;       53.49;
   228758.00;       47.72;       48.84;
   228758.00;       52.08;       44.44;
   228758.01;       42.04;       54.56;
   228758.01;       56.36;       40.11;
   228758.02;       42.34;       54.24;
   228758.04;       52.30;       44.17;
   228758.04;       48.55;       47.94;
   228758.05;       38.91;       57.66;
   228758.11;       39.45;       57.03;
   228758.11;       36.72;       59.78;
   228758.11;       43.24;       53.20;
   228758.11;       54.41;       41.93;
   228758.12;       55.13;       41.19;
   228758.14;       49.03;       47.32;
   228758.14;       54.77;       41.53;
   228758.15;       41.32;       55.09;
   228758.19;       56.77;       39.44;
   228758.21;       56.55;       39.63;
   228758.22;       57.23;       38.94;
   228758.24;       53.74;       42.43;
   228758.24;       44.32;       51.93;
   228758.24;       55.64;       40.51;
   228758.26;       57.98;       38.13;
   228758.27;       50.22;       45.93;
   228758.28;       39.90;       56.33;
   228758.29;       53.09;       43.01;
   228758.30;       55.52;       40.55;
   228758.31;       49.43;       46.68;
   228758.34;       38.00;       58.17;
   228758.34;       45.33;       50.77;
   228758.34;       54.98;       41.03;
   228758.35;       52.46;       43.57;
   228758.35;       57.84;       38.14;
   228758.35;       43.82;       52.28;
   228758.36;       47.96;       48.09;
   228758.37;       38.54;       57.58;
   228758.37;       38.51;       57.61;
   228758.39;       48.23;       47.77;
   228758.42;       57.98;       37.89;
   228758.43;       36.34;       59.71;
   228758.44;       51.94;       43.96;
   228758.44;       52.90;       42.99;
   228758.45;       53.38;       42.50;
   228758.46;       43.32;       52.62;
   228758.49;       37.12;       58.84;
   228758.49;       42.77;       53.14;
   228758.50;       43.84;       52.05;
   228758.50;       47.36;       48.49;
   228758.59;       54.21;       41.46;
   228758.61;       51.40;       44.26;
   228758.62;       44.72;       50.99;
   228758.62;       43.78;       51.93;
   228758.64;       41.51;       54.20;
   228758.66;       38.93;       56.77;
   228758.67;       51.62;       43.96;
   228758.69;       58.95;       36.54;
   228758.69;       58.40;       37.09;
   228758.70;       51.49;       44.04;
   228758.70;       45.55;       50.03;
   228758.70;       52.35;       43.17;
   228758.71;       52.65;       42.86;
   228758.73;       51.89;       43.60;
   228758.73;       56.52;       38.93;
   228758.73;       48.57;       46.94;
   228758.74;       58.96;       36.46;
   228758.76;       53.35;       42.09;
   228758.76;       45.14;       50.36;
   228758.77;       39.26;       56.28;
   228758.79;       54.19;       41.20;
   228758.79;       56.51;       38.86;
   228758.80;       38.99;       56.51;
   228758.83;       54.31;       41.02;
   228758.85;       47.85;       47.50;
   228758.87;       54.67;       40.60;
   228758.87;       36.16;       59.27;
   228758.88;       46.19;       49.13;
   228758.93;       36.50;       58.84;
   228758.97;       50.08;       45.08;
   228758.98;       50.63;       44.51;
   228758.99;       57.03;       38.05;
   228758.99;       46.86;       48.30;
   228759.03;       41.75;       53.40;
   228759.04;       40.43;       54.72;
   228759.04;       42.52;       52.61;
   228759.04;       36.06;       59.12;
   228759.07;       47.58;       47.46;
   228759.12;       47.00;       47.97;
   228759.13;       45.23;       49.75;
   228759.13;       48.66;       46.29;
   228759.14;       46.20;       48.75;
   228759.17;       40.39;       54.58;
   228759.18;       44.37;       50.55;
   228759.18;       47.50;       47.38;
   228759.21;       52.91;       41.89;
   228759.21;       38.79;       56.13;
   228759.21;       56.63;       38.13;
   228759.22;       38.77;       56.14;
   228759.24;       55.17;       39.56;
   228759.25;       52.22;       42.53;
   228759.26;       43.55;       51.26;
   228759.27;       43.35;       51.45;
   228759.31;       56.27;       38.35;
   228759.32;       41.61;       53.13;
   228759.33;       41.39;       53.34;
   228759.35;       44.54;       50.13;
   228759.38;       39.33;       55.35;
   228759.38;       35.03;       59.68;
   228759.40;       38.94;       55.71;
   228759.41;       42.02;       52.59;
   228759.41;       35.56;       59.10;
   228759.42;       59.37;       35.07;
   228759.45;       40.49;       54.08;
   228759.45;       37.04;       57.56;
   228759.46;       41.68;       52.86;
   228759.47;       46.32;       48.17;
   228759.48;       37.92;       56.63;
   228759.49;       50.35;       44.07;
   228759.49;       50.93;       43.48;
   228759.51;       53.42;       40.95;
   228759.51;       54.51;       39.85;
   228759.51;       49.13;       45.27;
   228759.51;       55.93;       38.41;
   228759.52;       58.62;       35.69;
   228759.54;       47.77;       46.61;
   228759.54;       52.95;       41.38;
   228759.56;       37.21;       57.22;
   228759.57;       54.13;       40.15;
   228759.58;       51.64;       42.64;
   228759.59;       48.57;       45.72;
   228759.60;       40.03;       54.33;
   228759.62;       52.31;       41.91;
   228759.62;       47.04;       47.22;
   228759.63;       37.68;       56.66;
   228759.63;       46.50;       47.76;
   228759.64;       58.95;       35.19;
   228759.65;       46.04;       48.19;
   228759.65;       56.46;       37.68;
   228759.65;       44.65;       49.59;
   228759.67;       56.34;       37.77;
   228759.68;       36.07;       58.20;
   228759.71;       58.69;       35.35;
   228759.73;       45.02;       49.11;
   228759.75;       49.61;       44.45;
   228759.75;       34.71;       59.48;
   228759.76;       49.21;       44.84;
   228759.76;       46.61;       47.46;
   228759.79;       35.08;       59.05;
   228759.80;       41.61;       52.45;
   228759.82;       56.15;       37.76;
   228759.82;       57.29;       36.60;
   228759.82;       51.26;       42.68;
   228759.83;       58.62;       35.25;
   228759.83;       58.39;       35.48;
   228759.87;       37.61;       56.39;
   228759.87;       54.65;       39.20;
   228759.87;       59.25;       34.55;
   228759.88;       40.64;       53.31;
   228759.90;       36.05;       57.92;
   228759.90;       36.24;       57.72;
   228759.92;       38.22;       55.70;
   228759.92;       58.90;       34.84;
   228759.92;       40.96;       52.93;
   228759.93;       54.04;       39.72;
   228759.94;       50.03;       43.75;
   228759.95;       43.65;       50.18;
   228759.95;       55.47;       38.25;
   228759.95;       46.13;       47.67;
   228759.97;       49.52;       44.23;
   228759.99;       47.75;       45.98;
   228760.00;       47.81;       45.91;
   228760.01;       57.35;       36.28;
   228760.01;       37.52;       56.28;
   228760.02;       43.87;       49.86;
   228760.02;       54.51;       39.12;
   228760.05;       58.46;       35.10;
   228760.06;       47.65;       45.98;
   228760.06;       58.04;       35.50;
   228760.08;       46.24;       47.38;
   228760.09;       40.10;       53.56;
   228760.10;       43.49;       50.13;
